Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,MEASURE error,Operational
63,226.0353454560652,191.01477313191572,0.029052734375,0.03515625,0.02294921875,2584.0,0.0002522396674033952,36.0,0.0002522396674033952,0.0,0.0002522396674033952,0.0002522396674033952,0.3626708984375,Yes
64,272.94379002795773,87.74647845878293,0.01123046875,0.017578125,0.0048828125,2584.0,0.0005334049584798636,36.0,0.0005334049584798636,0.0,0.0005334049584798636,0.0005334049584798636,0.01171875,Yes
65,241.0170378286494,65.86703781068778,0.0211181640625,0.0322265625,0.010009765625,2584.0,0.0003614655981570253,36.0,0.0003614655981570253,0.0,0.0003614655981570253,0.0003614655981570253,0.0159912109375,Yes
66,59.10656064587748,46.73795755762692,0.011962890625,0.020751953125,0.003173828125,2584.0,0.000277615078832008,36.0,0.000277615078832008,0.0,0.000277615078832008,0.000277615078832008,0.0037841796875,Yes
67,243.36149126479268,54.33077563330242,0.041259765625,0.037353515625,0.045166015625,2584.0,0.0003975034189755307,36.0,0.0003975034189755307,0.0,0.0003975034189755307,0.0003975034189755307,0.02783203125,Yes
68,143.28165413419404,23.382857446603825,0.0205078125,0.039794921875,0.001220703125,2584.0,0.0007710385252063154,36.0,0.0007710385252063154,0.0,0.0007710385252063154,0.0007710385252063154,0.02294921875,Yes
69,176.9431588349733,21.708863630061057,0.0269775390625,0.036376953125,0.017578125,2584.0,0.00022603571694379153,36.0,0.00022603571694379153,0.0,0.00022603571694379153,0.00022603571694379153,0.0245361328125,Yes
70,124.86725385904842,21.840673194848176,0.0101318359375,0.017333984375,0.0029296875,2584.0,0.00027603954043659804,36.0,0.00027603954043659804,0.0,0.00027603954043659804,0.00027603954043659804,0.0262451171875,Yes
71,204.37258532019106,236.04181070463247,0.0064697265625,0.011962890625,0.0009765625,2584.0,0.00018147356569596238,36.0,0.00018147356569596238,0.0,0.00018147356569596238,0.00018147356569596238,0.0234375,Yes
72,156.51179223653764,10.180360924780993,0.0137939453125,0.026123046875,0.00146484375,2584.0,0.0003648057055040471,36.0,0.0003648057055040471,0.0,0.0003648057055040471,0.0003648057055040471,0.0360107421875,Yes
73,145.14653574007446,112.35367479472839,0.013916015625,0.021484375,0.00634765625,2584.0,0.00038970238505932385,36.0,0.00038970238505932385,0.0,0.00038970238505932385,0.00038970238505932385,0.025390625,Yes
74,92.43087851035935,13.541565873321385,0.017822265625,0.020751953125,0.014892578125,2584.0,0.00030565631141499255,36.0,0.00030565631141499255,0.0,0.00030565631141499255,0.00030565631141499255,0.0228271484375,Yes
75,357.453771319919,261.55686953816553,0.0029296875,0.003662109375,0.002197265625,2584.0,0.00023277568217021691,36.0,0.00023277568217021691,0.0,0.00023277568217021691,0.00023277568217021691,0.0313720703125,Yes
76,110.09121617020911,29.639875507394336,0.01171875,0.014892578125,0.008544921875,2584.0,0.0007395870732016905,36.0,0.0007395870732016905,0.0,0.0007395870732016905,0.0007395870732016905,0.0191650390625,Yes
77,178.78242660873903,36.8985182530958,0.0086669921875,0.01416015625,0.003173828125,2584.0,0.0010145687579989951,36.0,0.0010145687579989951,0.0,0.0010145687579989951,0.0010145687579989951,0.0068359375,Yes
