Qubit 1,Qubit 2,CZ error,Gate length (ns),RZZ error,Operational
95,99,0.10157512136027297,68.0,1.0,Yes
96,83,0.006823899385158233,68.0,0.007525575691790409,Yes
96,103,0.0023730564222781414,68.0,0.0031763692592204906,Yes
97,87,0.001808398615558815,68.0,0.0021696046983942785,Yes
97,107,0.0027067401699679416,68.0,0.001646128936853869,Yes
98,91,0.0016855642113472735,68.0,0.0013291482504744767,Yes
98,111,0.0018157767179797502,68.0,0.0028591254197802562,Yes
99,95,0.10157512136027297,68.0,1.0,Yes
99,115,0.0036938624902825568,68.0,0.0031553847975022975,Yes
100,101,0.002083186433293527,68.0,0.0026781185918029193,Yes
101,100,0.002083186433293527,68.0,0.0026781185918029193,Yes
101,102,0.0031338381370178137,68.0,0.004682881262487365,Yes
101,116,0.0025893349459596426,68.0,0.004120983343073481,Yes
102,101,0.0031338381370178137,68.0,0.004682881262487365,Yes
102,103,0.003447986864944713,68.0,0.005481829587400094,Yes
103,96,0.0023730564222781414,68.0,0.0031763692592204906,Yes
103,102,0.003447986864944713,68.0,0.005481829587400094,Yes
103,104,0.0019351886313254962,68.0,0.0039395534305395885,Yes
104,103,0.0019351886313254962,68.0,0.0039395534305395885,Yes
104,105,0.0028708775991844737,68.0,0.0017018200728288468,Yes
105,104,0.0028708775991844737,68.0,0.0017018200728288468,Yes
105,106,0.004014936798852009,68.0,0.002532332399813375,Yes
105,117,0.005174251330311019,68.0,0.003596112544279023,Yes
106,105,0.004014936798852009,68.0,0.002532332399813375,Yes
106,107,0.0048660163375000565,68.0,0.002170770074151923,Yes
107,97,0.0027067401699679416,68.0,0.001646128936853869,Yes
107,106,0.0048660163375000565,68.0,0.002170770074151923,Yes
107,108,0.003977769795513425,68.0,0.002978485173157991,Yes
108,107,0.003977769795513425,68.0,0.002978485173157991,Yes
108,109,0.0022569221384331206,68.0,0.002792318785664355,Yes
109,108,0.0022569221384331206,68.0,0.002792318785664355,Yes
109,110,0.0019323677167788766,68.0,0.00219696255000032,Yes
109,118,0.0017865136127221126,68.0,0.003571026618798878,Yes
110,109,0.0019323677167788766,68.0,0.00219696255000032,Yes
110,111,0.0022097988668310364,68.0,0.0022931856502107217,Yes
111,98,0.0018157767179797502,68.0,0.0028591254197802562,Yes
111,110,0.0022097988668310364,68.0,0.0022931856502107217,Yes
111,112,0.0024472367156319896,68.0,0.0022444628988489146,Yes
112,111,0.0024472367156319896,68.0,0.0022444628988489146,Yes
112,113,1.0,68.0,1.0,Yes
113,112,1.0,68.0,1.0,Yes
113,114,1.0,68.0,1.0,Yes
113,119,1.0,68.0,1.0,Yes
114,113,1.0,68.0,1.0,Yes
114,115,0.004427496330261099,68.0,0.002495527886536675,Yes
115,99,0.0036938624902825568,68.0,0.0031553847975022975,Yes
115,114,0.004427496330261099,68.0,0.002495527886536675,Yes
116,101,0.0025893349459596426,68.0,0.004120983343073481,Yes
116,121,0.002660072753552123,68.0,0.003809392940027856,Yes
117,105,0.005174251330311019,68.0,0.003596112544279023,Yes
117,125,0.003833956617526224,68.0,0.0027234142511547987,Yes
118,109,0.0017865136127221126,68.0,0.003571026618798878,Yes
118,129,0.0018953345568425706,68.0,1.0,Yes
119,113,1.0,68.0,1.0,Yes
119,133,1.0,68.0,1.0,Yes
120,121,0.0018208145002380216,68.0,0.001915558840995868,Yes
121,116,0.002660072753552123,68.0,0.003809392940027856,Yes
121,120,0.0018208145002380216,68.0,0.001915558840995868,Yes
121,122,0.003033816621418689,80.0,0.0027801316985104074,Yes
122,121,0.003033816621418689,80.0,0.0027801316985104074,Yes
122,123,0.0016442181837639513,68.0,0.0020089697014244734,Yes
123,122,0.0016442181837639513,68.0,0.0020089697014244734,Yes
123,124,0.004141634687343798,68.0,0.002318776548701773,Yes
123,136,0.0023730496973093096,68.0,0.0023617822157980806,Yes
124,123,0.004141634687343798,68.0,0.002318776548701773,Yes
124,125,0.005717040388517114,68.0,0.003088280464514259,Yes
125,117,0.003833956617526224,68.0,0.0027234142511547987,Yes
125,124,0.005717040388517114,68.0,0.003088280464514259,Yes
125,126,0.0037273896176460986,68.0,0.008190891816725748,Yes
126,125,0.0037273896176460986,68.0,0.008190891816725748,Yes
126,127,0.0024393902258220135,68.0,0.007173673958360882,Yes
127,126,0.0024393902258220135,68.0,0.007173673958360882,Yes
127,128,0.0017628602120886294,68.0,0.0011499641847782516,Yes
127,137,0.0021458742763274807,68.0,0.0021809496539508533,Yes
128,127,0.0017628602120886294,68.0,0.0011499641847782516,Yes
128,129,0.002379911815572344,68.0,0.0020532869692871103,Yes
129,118,0.0018953345568425706,68.0,1.0,Yes
129,128,0.002379911815572344,68.0,0.0020532869692871103,Yes
129,130,1.0,68.0,1.0,Yes
130,129,1.0,68.0,1.0,Yes
130,131,1.0,68.0,1.0,Yes
131,130,1.0,68.0,1.0,Yes
131,132,0.0015659086564004665,68.0,0.0014578607464254545,Yes
131,138,0.002398470752287357,68.0,0.0018382859106571836,Yes
132,131,0.0015659086564004665,68.0,0.0014578607464254545,Yes
132,133,0.0020529472473625188,68.0,0.0015377788810762294,Yes
133,119,1.0,68.0,1.0,Yes
133,132,0.0020529472473625188,68.0,0.0015377788810762294,Yes
133,134,0.003049823750153613,80.0,0.0027836406227369215,Yes
134,133,0.003049823750153613,80.0,0.0027836406227369215,Yes
134,135,0.002097438800404944,68.0,0.002601604155480247,Yes
135,134,0.002097438800404944,68.0,0.002601604155480247,Yes
135,139,0.0017751331275198123,68.0,0.0021306820615851763,Yes
136,123,0.0023730496973093096,68.0,0.0023617822157980806,Yes
136,143,0.004727028781983639,68.0,0.0028337220075334846,Yes
137,127,0.0021458742763274807,68.0,0.0021809496539508533,Yes
137,147,0.0016674591818108542,68.0,0.0020852184169432852,Yes
138,131,0.002398470752287357,68.0,0.0018382859106571836,Yes
138,151,0.0034986489196570936,68.0,0.0022230372220884698,Yes
139,135,0.0017751331275198123,68.0,0.0021306820615851763,Yes
139,155,0.00205882430772264,80.0,0.0013379919772406323,Yes
140,141,0.009653561651031706,68.0,0.002989999508052621,Yes
141,140,0.009653561651031706,68.0,0.002989999508052621,Yes
141,142,0.00837713878223914,68.0,0.0014798214993893277,Yes
142,141,0.00837713878223914,68.0,0.0014798214993893277,Yes
142,143,0.09547983980982971,68.0,0.007850315251761414,Yes
143,136,0.004727028781983639,68.0,0.0028337220075334846,Yes
143,142,0.09547983980982971,68.0,0.007850315251761414,Yes
143,144,0.007263193196427625,68.0,0.0039105893065237984,Yes
144,143,0.007263193196427625,68.0,0.0039105893065237984,Yes
144,145,0.003778720505841493,68.0,0.005688500248441614,Yes
145,144,0.003778720505841493,68.0,0.005688500248441614,Yes
145,146,0.001815759060717681,68.0,0.0023588858889354025,Yes
146,145,0.001815759060717681,68.0,0.0023588858889354025,Yes
146,147,0.0022601606326836388,68.0,0.001717486292247744,Yes
147,137,0.0016674591818108542,68.0,0.0020852184169432852,Yes
147,146,0.0022601606326836388,68.0,0.001717486292247744,Yes
147,148,0.0017680932511686953,68.0,0.0018474695617029802,Yes
148,147,0.0017680932511686953,68.0,0.0018474695617029802,Yes
148,149,0.0018095452841428161,68.0,0.0015731294671873508,Yes
149,148,0.0018095452841428161,68.0,0.0015731294671873508,Yes
149,150,0.003269024205103055,68.0,0.0016456918235969453,Yes
150,149,0.003269024205103055,68.0,0.0016456918235969453,Yes
150,151,0.003663179609230821,68.0,0.0038588073322581573,Yes
151,138,0.0034986489196570936,68.0,0.0022230372220884698,Yes
151,150,0.003663179609230821,68.0,0.0038588073322581573,Yes
151,152,0.02881666337988467,68.0,0.025186094357064093,Yes
152,151,0.02881666337988467,68.0,0.025186094357064093,Yes
152,153,0.002258734852077976,68.0,0.003013483376267251,Yes
153,152,0.002258734852077976,68.0,0.003013483376267251,Yes
153,154,0.001737582745959143,68.0,0.0019575504719127335,Yes
154,153,0.001737582745959143,68.0,0.0019575504719127335,Yes
154,155,0.00220262402141691,68.0,0.0017092954018562978,Yes
155,139,0.00205882430772264,80.0,0.0013379919772406323,Yes
155,154,0.00220262402141691,68.0,0.0017092954018562978,Yes
