"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"71","73.88524121678026","91.47174641236481","0.0291748046875","0.023681640625","0.03466796875","2584","0.00018147356569596238","36","0.00018147356569596238","0","0.00018147356569596238","0.00018147356569596238","72:0.005026459029965125;58:0.002246960475485421;70:0.0023158993720875654","72:68;58:68;70:68","72:0.005105950307902257;58:0.003154054775002413;70:0.0019747065148191245","0.0291748046875","Yes"
"72","132.53130387624745","57.44172934424186","0.023193359375","0.028564453125","0.017822265625","2584","0.0003648057055040471","36","0.0003648057055040471","0","0.0003648057055040471","0.0003648057055040471","73:0.0036807706688271324;71:0.005026459029965125","73:68;71:68","73:0.0057542991621693795;71:0.005105950307902257","0.023193359375","Yes"
"73","150.92277557127107","122.72920953418085","0.0191650390625","0.025146484375","0.01318359375","2584","0.00038970238505932385","36","0.00038970238505932385","0","0.00038970238505932385","0.00038970238505932385","72:0.0036807706688271324;74:0.003838142479395512;79:0.0018236697291248438","72:68;74:68;79:68","72:0.0057542991621693795;74:0.002751159130364389;79:0.0024817156492875636","0.0191650390625","Yes"
"74","127.75789799316148","12.613553091586873","0.015625","0.018310546875","0.012939453125","2584","0.00030565631141499255","36","0.00030565631141499255","0","0.00030565631141499255","0.00030565631141499255","73:0.003838142479395512;75:0.0027223781900090893","73:68;75:68","73:0.002751159130364389;75:0.0016012127388898845","0.015625","Yes"
"75","390.81530861451324","222.18339082818085","0.0145263671875","0.01806640625","0.010986328125","2584","0.00023277568217021691","36","0.00023277568217021691","0","0.00023277568217021691","0.00023277568217021691","59:0.0016888384733612094;74:0.0027223781900090893","59:68;74:68","59:0.0014712923948782541;74:0.0016012127388898845","0.0145263671875","Yes"
"76","51.38165841622059","30.826345908777085","0.017578125","0.0185546875","0.0166015625","2584","0.0007395870732016905","36","0.0007395870732016905","0","0.0007395870732016905","0.0007395870732016905","81:0.004207283647558957;61:0.0036954715036237873","81:68;61:68","81:0.0073121907345070625;61:0.0033769115115058757","0.017578125","Yes"
"77","128.6390013374339","46.49503164009834","0.0118408203125","0.018798828125","0.0048828125","2584","0.0010145687579989951","36","0.0010145687579989951","0","0.0010145687579989951","0.0010145687579989951","85:0.0031539674354693903;65:0.0030710569794710763","85:68;65:68","85:0.0018900838778937723;65:0.0019424215951182322","0.0118408203125","Yes"
"78","117.11366596005197","108.19761500206434","0.0062255859375","0.01123046875","0.00244140625","2584","0.0003274930807345123","36","0.0003274930807345123","0","0.0003274930807345123","0.0003274930807345123","69:0.002048563330446118;89:0.001969308548018578","69:68;89:68","69:0.0021009036985805696;89:0.0027818870833250797","0.0062255859375","Yes"
"79","94.76073017871225","40.005442134107305","0.0673828125","0.06884765625","0.06591796875","2584","0.0005167219152149903","36","0.0005167219152149903","0","0.0005167219152149903","0.0005167219152149903","93:0.002950921805833173;73:0.0018236697291248438","93:68;73:68","93:0.0020168794935137013;73:0.0024817156492875636","0.0673828125","Yes"
"80","153.4904285585466","31.65792678147517","0.0137939453125","0.01806640625","0.009521484375","2584","0.00030253858305955277","36","0.00030253858305955277","0","0.00030253858305955277","0.00030253858305955277","81:0.004287034994091665","81:68","81:0.005189752987050433","0.0137939453125","Yes"
"81","163.9561237484596","173.64991385145353","0.0245361328125","0.02197265625","0.027099609375","2584","0.0010301579217410883","36","0.0010301579217410883","0","0.0010301579217410883","0.0010301579217410883","80:0.004287034994091665;76:0.004207283647558957","80:68;82:68;76:68","80:0.005189752987050433;82:0.1858529896831499;76:0.0073121907345070625","0.0245361328125","Yes"
"82","6.836081854736656","6.440762177221647","0.444580078125","0.313232421875","0.575927734375","2584","","36","","0","","","","81:68;83:68","81:0.1858529896831499","0.444580078125","Yes"
"83","286.57862686489943","314.00723653717944","0.165771484375","0.132080078125","0.199462890625","2584","0.0006230725975065735","36","0.0006230725975065735","0","0.0006230725975065735","0.0006230725975065735","96:0.006823899385158233;84:0.0049633672631357595","96:68;82:68;84:68","96:0.007525575691790409;84:0.004166473054555392","0.165771484375","Yes"
"84","192.16563772862386","149.2188278284901","0.0120849609375","0.019287109375","0.0048828125","2584","0.00052497431388907","36","0.00052497431388907","0","0.00052497431388907","0.00052497431388907","83:0.0049633672631357595;85:0.003711290313492127","83:68;85:68","83:0.004166473054555392;85:0.0023033304242638664","0.0120849609375","Yes"
