q,node,k_subsets,mean_score,propagated_error,lower_bound,margin,successful_subsets,total_subsets,success_fraction,T1,T2,Prob meas0 prep1,Prob meas1 prep0,readout_length,id_error,single_qubit_gate_length,x_error,rz_error,sx_error,pauli_x_error,measure_error,operational
3,73,6,0.6909333333333333,0.0188604633500287,0.6554756622352793,-0.0111910044313873,0,6,0.0,145.14653574007446,112.3536747947284,0.021484375,0.00634765625,2584.0,0.0003897023850593,36.0,0.0003897023850593,0.0,0.0003897023850593,0.0003897023850593,0.025390625,Yes
3,74,4,0.697525,0.0229603316885884,0.6543595764254537,-0.0123070902412129,0,4,0.0,92.43087851035936,13.541565873321384,0.020751953125,0.014892578125,2584.0,0.0003056563114149,36.0,0.0003056563114149,0.0,0.0003056563114149,0.0003056563114149,0.0228271484375,Yes
3,75,3,0.7054666666666666,0.0263173170702823,0.6559901105745357,-0.0106765560921309,0,3,0.0,357.453771319919,261.5568695381656,0.003662109375,0.002197265625,2584.0,0.0002327756821702,36.0,0.0002327756821702,0.0,0.0002327756821702,0.0002327756821702,0.0313720703125,Yes
3,76,5,0.60644,0.0214646591400841,0.5660864408166417,-0.1005802258500249,0,5,0.0,110.09121617020912,29.639875507394336,0.014892578125,0.008544921875,2584.0,0.0007395870732016,36.0,0.0007395870732016,0.0,0.0007395870732016,0.0007395870732016,0.0191650390625,Yes
3,77,5,0.69038,0.0206698329940035,0.6515207139712733,-0.0151459526953933,0,5,0.0,178.78242660873903,36.8985182530958,0.01416015625,0.003173828125,2584.0,0.0010145687579989,36.0,0.0010145687579989,0.0,0.0010145687579989,0.0010145687579989,0.0068359375,Yes
3,78,5,0.6952200000000001,0.0205839316944066,0.6565222084145156,-0.010144458252151,0,5,0.0,158.61109208018073,165.77883287094338,0.00927734375,0.002685546875,2584.0,0.0003274930807345,36.0,0.0003274930807345,0.0,0.0003274930807345,0.0003274930807345,0.0123291015625,Yes
3,79,5,0.6800200000000001,0.0208599908916566,0.6408032171236856,-0.025863449542981,0,5,0.0,115.36959038788396,46.71865451446822,0.094970703125,0.060302734375,2584.0,0.0005167219152149,36.0,0.0005167219152149,0.0,0.0005167219152149,0.0005167219152149,0.081298828125,Yes
3,80,2,0.5943499999999999,0.034057846012336,0.5303212494968081,-0.1363454171698584,0,2,0.0,172.66667657036848,47.10432890705275,0.021728515625,0.004638671875,2584.0,0.0003025385830595,36.0,0.0003025385830595,0.0,0.0003025385830595,0.0003025385830595,0.015869140625,Yes
3,81,5,0.5615,0.021681428827455,0.5207389138043845,-0.1459277528622821,0,5,0.0,95.10611015120443,69.41087511921022,0.0302734375,0.03125,2584.0,0.001030157921741,36.0,0.001030157921741,0.0,0.001030157921741,0.001030157921741,0.0443115234375,Yes
3,82,5,0.4807399999999999,0.0223233234980815,0.4387721518236067,-0.2278945148430599,0,5,0.0,7.414657473463317,6.440762177221647,0.52392578125,0.052734375,2584.0,1.0,36.0,1.0,0.0,1.0,1.0,0.3697509765625,Yes
3,83,6,0.5562833333333334,0.0199693457440258,0.5187409633345648,-0.1479257033321018,0,6,0.0,115.0516672428068,65.32543804730838,0.276611328125,0.05322265625,2584.0,0.0006230725975065,36.0,0.0006230725975065,0.0,0.0006230725975065,0.0006230725975065,0.1328125,Yes
3,84,5,0.6382,0.0212138417077152,0.5983179775894953,-0.0683486890771712,0,5,0.0,179.1694543835581,45.12361347444808,0.01953125,0.002685546875,2584.0,0.000524974313889,36.0,0.000524974313889,0.0,0.000524974313889,0.000524974313889,0.0115966796875,Yes
3,85,6,0.6738333333333334,0.0190688205368519,0.6379839507240518,-0.0286827159426148,0,6,0.0,82.6285529255864,64.88679186584736,0.007568359375,0.00341796875,2584.0,0.0002332569559001,36.0,0.0002332569559001,0.0,0.0002332569559001,0.0002332569559001,0.0048828125,Yes
3,86,5,0.6434599999999999,0.021296111288214,0.6034233107781575,-0.0632433558885091,0,5,0.0,152.40946311056894,41.21141818960994,0.017578125,0.003173828125,2584.0,0.0004597708247109,36.0,0.0004597708247109,0.0,0.0004597708247109,0.0004597708247109,0.0196533203125,Yes
3,87,6,0.6541833333333333,0.0192975992317985,0.6179038467775522,-0.0487628198891144,0,6,0.0,221.2270709414399,187.87238521657824,0.0078125,0.00390625,2584.0,0.0003254714730285,36.0,0.0003254714730285,0.0,0.0003254714730285,0.0003254714730285,0.0086669921875,Yes
3,88,5,0.6818000000000002,0.0207579947008375,0.6427749699624257,-0.0238916967042409,0,5,0.0,181.1713006574668,148.48695778374463,0.021484375,0.02197265625,2584.0,0.0001772341092078,36.0,0.0001772341092078,0.0,0.0001772341092078,0.0001772341092078,0.015869140625,Yes
3,89,6,0.69715,0.0187571992845413,0.6618864653450622,-0.0047802013216043,0,6,0.0,318.19841658247503,229.87469080029055,0.030517578125,0.001708984375,2584.0,0.0002219000109135,36.0,0.0002219000109135,0.0,0.0002219000109135,0.0002219000109135,0.016845703125,Yes
3,90,5,0.69338,0.0206203752633165,0.6546136945049648,-0.0120529721617018,0,5,0.0,67.27316280056026,60.161109623347954,0.057861328125,0.08447265625,2584.0,0.0005848377008672,36.0,0.0005848377008672,0.0,0.0005848377008672,0.0005848377008672,0.0843505859375,Yes
3,91,6,0.6987166666666665,0.0187296874417771,0.6635048542761255,-0.0031618123905411,0,6,0.0,153.66032826146645,214.6650570703766,0.009033203125,0.00244140625,2584.0,0.0004008150659516,36.0,0.0004008150659516,0.0,0.0004008150659516,0.0004008150659516,0.009765625,Yes
3,92,5,0.69632,0.0205631287502655,0.6576613179495008,-0.0090053487171658,0,5,0.0,295.3781687722669,291.49381375856825,0.008056640625,0.000244140625,2584.0,0.0002899901806198,36.0,0.0002899901806198,0.0,0.0002899901806198,0.0002899901806198,0.009033203125,Yes
3,93,6,0.6876333333333334,0.0189169810546561,0.6520694089505797,-0.0145972577160868,0,6,0.0,305.2366264413868,233.7361066734589,0.0078125,0.00244140625,2584.0,0.0002122861025047,36.0,0.0002122861025047,0.0,0.0002122861025047,0.0002122861025047,0.0125732421875,Yes
3,94,4,0.6858250000000001,0.0232050860534926,0.6421994382194339,-0.0244672284472327,0,4,0.0,177.90114156859445,100.43543881090524,0.012939453125,0.0048828125,2584.0,7.72707329268876e-05,36.0,7.72707329268876e-05,0.0,7.72707329268876e-05,7.72707329268876e-05,0.00732421875,Yes
3,95,3,0.6902333333333334,0.0266958429972408,0.6400451484985206,-0.026621518168146,0,3,0.0,169.4979272464371,241.72440674857384,0.0205078125,0.001708984375,2584.0,0.0006304222887193,36.0,0.0006304222887193,0.0,0.0006304222887193,0.0006304222887193,0.0052490234375,Yes
